ID apteki;Nazwa;Status;Numer zezwolenia;Data wydania zezwolenia;Data cofni_cia zezwolenia;Data wygaszenia zezwolenia;Data uprawomocnienia zezwolenia;Data uprawomocnienia cofni_cia/wygaszenia zezwolenia;Data nadania rygoru natychmiastowej wykonalno_ci dla cofni_cia zezwolenia;Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia;Wojew—dztwo;Powiat;Gmina;Rodzaj ulicy;Ulica;Numer Budynku;Numer Lokalu;Miejscowo__;Kod pocztowy;Poczta;Simc;Terc;Ulic
1029068;Dworcowa;aktywna;WIIF-GD/9211/A-420/2000;2000-09-28;;;2000-09-28;;;;POMORSKIE;wejherowski;Wejherowo (gmina miejska);ul.;Dworcowa;3;1;Wejherowo;84-200;;934984;2215031;4434
1134581;DWORCOWA;aktywna;WIF-WR-I.8520.1.49.2011;2011-10-04;;;2011-10-04;;;;dolno_l_skie;wa_brzyski;Wa_brzych;ul.;Listopada;1-3;;Wa_brzych;58-302;;;;
1149481;DWORCOWA;aktywna;WIFG/8240/23/02;2002-07-02;;;2002-07-02;;;;lubuskie;Gorz—w Wielkopolski;Gorz—w Wielkopolski;ul.;Dworcowa;2/3;;Gorz—w Wielkopolski;66-400;;935140;861011;4434
1133856;DUSZNICKA;aktywna;WIIF.WR-I-8240/20/zezw./18/05;2005-04-07;;;2005-04-07;;;;dolno_l_skie;k_odzki;Duszniki-Zdr—j;ul.;Wojska Polskiego;3a;;Duszniki Zdr—j;57-340;;;;
1059611;DUOS;aktywna;_LWIF.KA-4100-199/07/226/07-ZM;2008-01-04;;;2008-01-04;;;;_l_skie;Chorz—w;Chorz—w;;PLAC MICKIEWICZA;10;1;CHORZîW;41-500;;;;
1060180;DUOS;aktywna;_LWIF.KA-4100-194/06/224/07 - ZM;2008-01-07;;;2008-01-07;;;;_l_skie;rybnicki;;;3 MAJA;23;;CZERWIONKA LESZCZYNY;44-230;;;;
1060195;DUOS;aktywna;_LWIF.KA-4100-71/08;2008-06-04;;;2008-06-04;;;;_l_skie;rybnicki;Czerwionka-Leszczyny;;3 MAJA;36 C;;CZERWIONKA LESZCZYNY;44-230;;;;
1060205;DUOS;aktywna;_LWIF.KA.8520.1.61.2012;2012-04-23;;;2012-04-23;;;;_l_skie;rybnicki;Czerwionka-Leszczyny;;BRONIEWSKIEGO;15;;CZERWIONKA LESZCZYNY;44-238;;;;
1060247;DUOS;aktywna;_LWIF.KA-4100/51/07/225/07-ZM;2008-01-07;;;2008-01-07;;;;_l_skie;rybnicki;Czerwionka-Leszczyny;;KS. POJDY;35 B;;CZERWIONKA LESZCZYNY;44-238;;;;
1062284;DUOS;aktywna;_LWIF.KA-4100-196/2010;2010-11-25;;;2010-11-25;;;;_l_skie;gliwicki;Gliwice;;RYBNICKA;207;45;GLIWICE;44-122;;;;
1062347;DUOS;aktywna;_LWIF.KA-4100-29/08;2008-03-03;;;2008-03-03;;;;_l_skie;gliwicki;Gliwice;;STALMACHA;8;;GLIWICE;44-100;;;;
1073471;DUOS;aktywna;_LWIF.KA-4300-6/08;2008-05-02;;;2008-05-02;;;;_l_skie;gliwicki;Rudziniec;ul.;GLIWICKA;12 A;;TACISZîW;44-171;;221280;2405052;5583
1180240;DUOS;aktywna;DNAiH.8520.1.238.2014;2014-11-24;;;2014-12-09;;;;_L_SKIE;Jastrz_bie-Zdr—j;Jastrz_bie-Zdr—j (gmina miejska);ul.;Podhala_ska;26;;Jastrz_bie-Zdr—j;44-335;;940163;2467011;16756
1181948;DUOS;aktywna;DNAiH.8520.1.279.2014;2015-01-02;;;2015-01-17;;;;_L_SKIE;rybnicki;Czerwionka-Leszczyny (miasto w gminie miejsko-wiejskiej);ul.;Furgo_a;6E;;Czerwionka-Leszczyny;44-230;;939409;2412014;5213
